"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"309886","2.80147059","9.8848E-4","0.35695538","0.34762216","194","9","false","7150","162.90625","193","0","0","0.86142534","false","1","7150","7142514","0.04258578"
"309888","2.91251501","2.1717E-4","0.34334587","0.57652799","177","9","false","22907","182.72881356","177","0","0","0.85288346","false","0","22907","2306116","0.06322796"
"309889","3.07630552","3.344E-5","0.32506524","0.62827047","109","9","false","84844","199.33944954","109","0","0","0.84028419","false","0","84844","483752","0.11205141"
"309891","3.36659664","1.886E-5","0.29703588","0.48571429","15","9","false","23774","50.66666667","15","0","0","0.8179541","false","0","23774","86292","0.08757943"
"309892","3.60564226","5.79E-6","0.2773431","0.75757576","12","10","false","9767","28.5","12","0","0","0.79956598","false","0","9767","13138","0.12686012"
"309894","3.23671969","6.404E-5","0.30895477","0.10606061","12","9","false","84962","124.58333333","12","0","0","0.82794464","false","0","84962","207578","0.09484733"
"309896","3.4562575","9.67E-6","0.28933029","0.3","7","9","false","27030","102.8","6","0","0","0.81105712","false","1","27030","42452","0.21509434"
"309898","3.25652761","1.912E-5","0.30707555","0.16911765","19","9","false","3275","103.76470588","18","0","0","0.82642095","false","1","3275","105136","0.09113505"
"309899","2.75382653","0.00198877","0.36313108","0.07729032","127","8","false","6256","89.632","126","0","0","0.86509027","false","1","6256","9475550","0.02042864"
"309901","3.21863745","3.2092E-4","0.31069048","0.11415525","75","9","false","386677","40.68493151","74","0","0","0.82933558","false","1","386677","2167932","0.03110556"
"309902","3.71473589","7.5E-7","0.26919814","0.5","5","10","false","84527","161.0","5","0","0","0.79117416","false","0","84527","26656","0.32031873"
"309904","3.55154562","2.0E-8","0.28156755","0.33333333","3","9","false","3749","210.66666667","3","0","0","0.80372726","false","0","3749","842","0.54209622"
"309905","2.74804922","0.00269572","0.3638945","0.02994012","170","8","false","5579","65.5952381","169","0","0","0.86553468","false","1","5579","13935090","0.01504011"
"309907","3.13355342","7.206E-5","0.31912652","0.18936877","45","9","false","3718","68.81395349","44","0","0","0.83588051","false","1","3718","411786","0.04384366"
"309908","2.69920468","0.00361496","0.3704795","0.12508069","232","9","false","3932","100.93043478","231","0","0","0.86929195","false","1","3932","20140874","0.02107974"
"309910","2.87905162","0.00190748","0.3473366","0.03830615","164","9","false","10289","67.4695122","164","0","0","0.85545757","false","0","10289","10553302","0.02134824"
"309911","3.22283914","1.909E-5","0.31028542","0.02222222","10","9","false","55720","197.8","10","0","0","0.82901237","false","0","55720","140916","0.13410483"
"309913","3.04321729","1.6523E-4","0.32859961","0.15862069","30","9","false","5310","116.06666667","30","0","0","0.84282944","false","0","5310","805726","0.05729115"
"309914","2.92241897","0.00118316","0.34218228","0.03729604","68","9","false","87","79.27272727","67","0","0","0.85212162","false","1","87","4352512","0.02630198"
"309916","3.19657863","1.7545E-4","0.31283448","0.06666667","32","9","false","391257","60.5","31","0","0","0.83103241","false","1","391257","650604","0.04382132"
"309918","3.21135954","0.0014361","0.31139459","0.00408163","50","9","false","79959","27.34","50","0","0","0.82989542","false","0","79959","4841722","0.02526215"
"309919","3.16334034","1.664E-4","0.31612153","0.08666667","25","9","false","8812","89.16","25","0","0","0.8335892","false","0","8812","665986","0.0553827"
